serial,sample id,material type,SA,TPV,MPV,C,H,N,O,T,P,CO2,ref
68,CS-600-1.0,Microporous,798,0.34,,66.7,3.6,7,17,25,1,3.56,14
69,CS-500-1.5,Microporous,503,0.24,,69.1,4.1,8.5,16.8,25,1,2.68,14
70,CS-550-1.5,Microporous,718,0.33,,71.4,3.7,7.7,16.7,25,1,3.34,14
71,PYDC-550-1,Mesoporous,1266,0.69,,66.6,,14.9,18.4,0,0.15,2.99,15
72,,Mesoporous,1266,0.69,,66.6,,14.9,18.4,25,0.15,1.788,15
73,,Mesoporous,1266,0.69,,66.6,,14.9,18.4,0,1,6.3,15
74,,Mesoporous,1266,0.69,,66.6,,14.9,18.4,25,1,4.62,15
75,PYDC-550-2,Mesoporous,2013,1.173,,68,,15.1,16.9,0,0.15,3.714,15
76,,Mesoporous,2013,1.173,,68,,15.1,16.9,25,0.15,2.15,15
77,,Mesoporous,2013,1.173,,68,,15.1,16.9,0,1,8.59,15
78,,Mesoporous,2013,1.173,,68,,15.1,16.9,25,1,6.06,15
79,PYDC-550-3,Mesoporous,1400,0.78,,68.1,,15.5,16.4,0,0.15,2.69,15
80,,Mesoporous,1400,0.78,,68.1,,15.5,16.4,25,0.15,1.5,15
81,,Mesoporous,1400,0.78,,68.1,,15.5,16.4,0,1,6.24,15
82,,Mesoporous,1400,0.78,,68.1,,15.5,16.4,25,1,4.05,15
83,PYDC-600-2,Mesoporous,1398,0.88,,68.2,,15.3,16.5,0,0.15,3.46,15
84,,Mesoporous,1398,0.88,,68.2,,15.3,16.5,25,0.15,2.05,15
85,,Mesoporous,1398,0.88,,68.2,,15.3,16.5,0,1,7.219,15
86,,Mesoporous,1398,0.88,,68.2,,15.3,16.5,25,1,4.96,15
87,NHPC-1.0,Microporous,2541.3,1.52,,81.52,0.98,9.65,7.85,0,0.15,1.37,16
88,,Microporous,2541.3,1.52,,81.52,0.98,9.65,7.85,0,1,4.54,16
89,,Microporous,2541.3,1.52,,81.52,0.98,9.65,7.85,25,0.15,0.78,16
90,,Microporous,2541.3,1.52,,81.52,0.98,9.65,7.85,25,1,2.86,16
91,NHPC-1.5,Microporous,1241.7,0.68,,75.72,1.02,14.52,8.68,0,0.15,1.67,16
92,,Microporous,1241.7,0.68,,75.72,1.02,14.52,8.68,0,1,4.17,16
